GlobalID,Name (Arabic),Name (English),Legal Name,Category,Secondary Category,Company Status,Working Days,Working Hours,Break Time,Holidays,Entrance Location,Building Number,Floor Number,Phone Number,Website,Social Media Accounts,Accepted Payment Methods,Commercial License Number,Language,Cuisine Type,Menu Barcode URL,Coordinates X,Coordinates Y,Dine In,Only Delivery,Shisha,Order from Car,Live Sport Broadcasting,Family Seating,Large Groups Can Be Seated,Has a Waiting Area,Has Separate Rooms,Smoking Area,Iftar Menu,Suhoor,Require Ticket,Is Landmark,Free Entry,Has Women-Only Prayer Room,Provides Iftar Tent,Drive Thru,WiFi,Reservation,Pickup Point Exists,Children Area,Valet Parking,Music,Has Parking Lot,Wheelchair Accessible,District (English),District (Arabic),City(english),POI ID,Detail Category,city(Arabic),Survey Date,Agent Name,Notes
19c947f3-1246-43ba-9a01-7cb19c795712,???? ????? ????????? ??????? ???????,King Abdulaziz Center for Cultural Communication,???? ????? ????????? ??????? ???????,Cultural Sites,Non-governmental organization,open,Sunday-Thursday,08:00-15:30,None,Friday closed,"Located on Northern Ring Road, Exit 6, Al Nafl District, Riyadh",4246,G,966112665720,https://www.kaccc.org.sa/,"https://www.instagram.com/kaccc.sa/, https://x.com/KACCCsa","Mada, Visa, Apple Pay, Mastercard",,"Arabic, English",N/A,N/A,24.7768311,46.6823143,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,Al Nafl,?????,Riyadh,1347867,Cultural Dialogue Center,??????,02/11/2026 12:09:57,abdulrhman,
1b2a49fb-279a-429d-909f-cdddb3609240,?????? ????? ????????,Samaya Group Ltd,Samaya Group Company Ltd,Corporate,Facilities Services,open,Sunday-Thursday,08:00-17:00,None,Friday closed,,4203,G,966114651887,https://samaya.sa/,"https://www.instagram.com/samayagroupsa/, https://x.com/samaya_group","Mada, Visa, Apple Pay, Mastercard",,"Arabic, English",N/A,N/A,24.7792132,46.6817913,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,Al Nafl,?????,Riyadh,1366447,Facilities Management,??????,02/11/2026 12:09:57,mohammed,
52059392-6a7f-4565-96e9-7e1089c69fad,?????? ?????,Al Shiddi Group,Al Shiddi Trading Company Ltd.,Corporate,Trading,open,Monday-Friday,08:00-15:30,None,"Friday closed, Saturday closed","Located in Al-Shiddi Group Building, Wadi Al Hayat, Al Nafl District, Al Rayyan Street",,,966112104141,http://www.shiddi.com,"https://www.facebook.com/shiddiGroup, https://www.instagram.com/shiddi_tourism","Mada, Visa, Apple Pay, Mastercard",,"Arabic, English",Food Products Supplier,N/A,24.7769479,46.6822226,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,Al Nafl,?????,Riyadh,1301212,Food Products Supplier,??????,02/11/2026 12:09:57,mohammed,
6e0e6978-453a-4a46-9bf1-8c246305b374,????? ????? ??????,Al Nafl Public Park,????? ????? ?????? ?? ???? ??????? ??????? ????????,Public Parks,Public Garden,open,Daily,24 hours,None,"Open on holidays, may have adjusted hours during Ramadan","Accessible via Al Khurais Street in Al Nafl District, multiple entrances along the walking paths overlooking Wadi Hanifa",,,,"https://www.google.com/maps?q=24.78258536,46.67993113",,N/A,,"Arabic, English",N/A,N/A,24.78258536,46.67993113,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,yes,no,Al Nafl,?????,Riyadh,866768,Recreational Park,??????,02/11/2026 12:09:57,Abdullah,
42a631d0-7153-4ff6-9a03-b4b17105ba86,??????? ??????? ????????,Al-Etihad Cooperative Insurance Co.,Al-Etihad Cooperative Insurance Company SJSC,Corporate,Insurance,open,Sunday-Thursday,08:00-16:00,None,Friday closed,"Located on King Abdulaziz Branch Road, RALA6785, Al Nafel District, Riyadh",6747,G,#ERROR,https://www.aletihad.sa/,https://www.instagram.com/aletihadins/,"Mada, Visa, Apple Pay, Mastercard",,"Arabic, English",N/A,N/A,24.7766165,46.6654189,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,Al Nafl,?????,Riyadh,1358943,Cooperative Insurance,??????,02/11/2026 12:14:19,abdulrhman,
38888705-ccac-420b-9c6c-4436d7d84028,??? ????? ??????? ??????,Qasr Al Noor for Curtains and Rolls,,Shopping,Retail,open,"Sunday-Thursday, Saturday",00:00-23:59,N/A,,,6769,G,966575243916,https://www.google.com/maps/place/?q=place_id:ChIJPdA9UPABLz4RlNQ1sObn9IY,,"Mada, Visa, Apple Pay, Mastercard",,"Arabic, English",N/A,N/A,24.7776464,46.6750956,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,Al Nafl,?????,Riyadh,1349388,Curtain Store,??????,02/11/2026 12:14:19,mohammed,
5c974d6f-1c16-419f-82a1-2df8769b5165,????? ???? ???? - ??? ??????? ??????? ????????,Media Land Group - KSA Branch,Media Land Group,Corporate,Event Management,open,Sunday-Thursday,09:00-18:00,None,Friday closed,"Office 7, Building 7633, King Abdulaziz Road, Al Nafl District",,,966112049991,https://www.medialandgroup.com/,"https://www.instagram.com/medialandgroup/, https://x.com/medialandgroup","Mada, Visa, Apple Pay, Mastercard",,"Arabic, English",N/A,N/A,24.7844212,46.6617817,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,Al Nafl,?????,Riyadh,1387121,Exhibitions and Contracting,??????,02/11/2026 12:14:19,mohammed,
9311871e-13e9-4b25-af4a-447725dbe46d,???? ??? ??? ??????,Bank Albilad ATM,Bank Albilad,Bank,ATM,open,All days,24 hours,None,"??????? ,none",,8328,G,966920001002,https://www.bankalbilad.com.sa,,other,,"Arabic, English",N/A,N/A,24.7801,46.6737,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,Al Nafl,?????,Riyadh,1,Automated Teller Machine,??????,02/11/2026 12:14:19,fadhel,
40a5ba67-efe5-4678-8b95-87a50c1b5ea5,????? ????????? ???????,Al Diwaniyah Barber Salon,????? ?????,Beauty and Spa,Barber Shop,open,Saturday-Thursday,12:00-00:00,None,Friday closed,,2773,G,966581597938,"https://www.google.com/maps?q=24.78025836,46.66787622",,"Mada, Visa, Apple Pay, Mastercard",,Arabic,N/A,N/A,24.78025836,46.66787622,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,Al Nafl,?????,Riyadh,1390617,Men's Barber Salon,??????,02/11/2026 12:14:19,Abdullah,
5b8ece37-fe9c-4356-bad3-df4782b82331,???? ?????? ?????? ??????,Alhayat Clinics,AL Hayat Medical Clinics,Healthcare,Medical Center,open,Saturday-Thursday,"08:30-12:00, 16:30-21:30",12:00-16:30,"Friday closed, emergency 24/7","???? ??? ??? ?????? ??????? ?????? ??????",7135,G,966920022480,https://www.alhayat.sa,"https://www.instagram.com/alhayatclinics, https://x.com/AlhayatClinics","Mada, Visa, Apple Pay, Mastercard",,"Arabic, English",N/A,N/A,24.7918768,46.6787166,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes,Al Nafl,?????,Riyadh,1270840,Specialty Clinics Complex,??????,02/11/2026 8:46:42,abdulrhman,
